"","State","County","fips","7_day_average_case_growth"
"1643","Colorado","Costilla","08023",0
"1644","Colorado","Lincoln","08073",4.42176870748299
"1645","Florida","Levy","12075",2.07724519175297
"1646","Florida","Suwannee","12121",2.84367665285955
"1647","Georgia","Chattahoochee","13053",2.03949708169848
"1648","Georgia","Habersham","13137",1.45555009395657
"1649","Georgia","Hart","13147",1.90081201963518
"1650","Georgia","Upson","13293",1.20799694293111
"1651","Idaho","Gem","16045",2.46773733115717
"1652","Illinois","Bureau","17011",5.35216736257957
"1653","Illinois","Henry","17073",2.6528945369351
"1654","Illinois","Iroquois","17075",0.924406445697638
"1655","Indiana","Carroll","18015",4.22724555089596
"1656","Indiana","Clinton","18023",3.04820351806178
"1657","Indiana","Fulton","18049",2.47625625004786
"1658","Indiana","Henry","18065",0.692610756763716
"1659","Indiana","Huntington","18069",0.475239276038284
"1660","Indiana","Kosciusko","18085",0.557514398649374
"1661","Indiana","LaGrange","18087",0.469090391407468
"1662","Indiana","Randolph","18135",1.65506869043013
"1663","Indiana","Whitley","18183",0.6883792239223
"1664","Iowa","Butler","19023",1.1229199928881
"1665","Iowa","Clinton","19045",2.98694391835406
"1666","Iowa","Dickinson","19059",0.114689916370589
"1667","Iowa","Hardin","19083",1.36068295492415
"1668","Iowa","Iowa","19095",1.09307251504837
"1669","Iowa","Marshall","19127",0.560153416990376
"1670","Iowa","Montgomery","19137",4.79642746865213
"1671","Iowa","Webster","19187",1.74531128363787
"1672","Iowa","Wright","19197",0.762637305047971
"1673","Kansas","Clay","20027",2.29741019214703
"1674","Kansas","Coffey","20031",0.42930605077852
"1675","Kansas","Gove","20063",0
"1676","Kansas","Harvey","20079",2.84423179160021
"1677","Kansas","McPherson","20113",1.27413280438366
"1678","Kansas","Osage","20139",1.51391993497257
"1679","Kansas","Ottawa","20143",1.8452380952381
"1680","Kentucky","Bullitt","21029",2.24690412655602
"1681","Kentucky","Campbell","21037",1.33139481194573
"1682","Kentucky","Larue","21123",1.8271411128554
"1683","Kentucky","Woodford","21239",2.8989137647174
"1684","Louisiana","West Feliciana","22125",0.996602787651092
"1685","Michigan","Cass","26027",1.42220316550592
"1686","Michigan","Crawford","26039",1.58023534188547
"1687","Michigan","Gratiot","26057",1.02203143314058
"1688","Michigan","Huron","26063",0.958457216747974
"1689","Minnesota","Beltrami","27007",2.47567884586605
